date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
28-09-2019,Fatehabad,1,Satisfactory,59,PM10
29-09-2019,Fatehabad,1,Good,50,PM10
30-09-2019,Fatehabad,1,Good,46,PM10
01-10-2019,Fatehabad,1,Satisfactory,65,PM10
02-10-2019,Fatehabad,1,Satisfactory,74,PM10
03-10-2019,Fatehabad,1,Satisfactory,80,PM10
04-10-2019,Fatehabad,1,Satisfactory,62,PM10
05-10-2019,Fatehabad,1,Satisfactory,66,OZONE
06-10-2019,Fatehabad,1,Satisfactory,98,PM10
07-10-2019,Fatehabad,1,Moderate,148,PM10
08-10-2019,Fatehabad,1,Satisfactory,85,PM10
09-10-2019,Fatehabad,1,Moderate,102,PM10
10-10-2019,Fatehabad,1,Moderate,101,PM10
11-10-2019,Fatehabad,1,Moderate,110,PM10
12-10-2019,Fatehabad,1,Moderate,119,PM10
13-10-2019,Fatehabad,1,Moderate,137,PM10
14-10-2019,Fatehabad,1,Moderate,131,PM10
15-10-2019,Fatehabad,1,Moderate,138,PM10
16-10-2019,Fatehabad,1,Moderate,164,PM10
17-10-2019,Fatehabad,1,Moderate,166,PM10
18-10-2019,Fatehabad,1,Moderate,171,PM10
19-10-2019,Fatehabad,1,Moderate,150,PM10
20-10-2019,Fatehabad,1,Moderate,107,PM10
21-10-2019,Fatehabad,1,Moderate,142,PM10
22-10-2019,Fatehabad,1,Moderate,150,OZONE
23-10-2019,Fatehabad,1,Moderate,163,PM10
24-10-2019,Fatehabad,1,Moderate,161,PM10
25-10-2019,Fatehabad,1,Moderate,179,PM10
26-10-2019,Fatehabad,1,Moderate,157,PM10
27-10-2019,Fatehabad,1,Poor,204,PM10
28-10-2019,Fatehabad,1,Poor,232,PM10
29-10-2019,Fatehabad,1,Moderate,190,PM10
30-10-2019,Fatehabad,1,Poor,282,PM10
31-10-2019,Fatehabad,1,Poor,284,PM10
01-11-2019,Fatehabad,1,Very Poor,393,PM10
02-11-2019,Fatehabad,1,Severe,493,PM10
03-11-2019,Fatehabad,1,Severe,478,PM10
04-11-2019,Fatehabad,1,Very Poor,362,PM10
05-11-2019,Fatehabad,1,Moderate,181,PM10
06-11-2019,Fatehabad,1,Moderate,157,PM10
07-11-2019,Fatehabad,1,Satisfactory,71,PM10
08-11-2019,Fatehabad,1,Satisfactory,74,PM10
09-11-2019,Fatehabad,1,Moderate,109,PM10
10-11-2019,Fatehabad,1,Moderate,157,PM10
11-11-2019,Fatehabad,1,Poor,241,PM10
12-11-2019,Fatehabad,1,Severe,403,PM10
13-11-2019,Fatehabad,1,Severe,430,PM10
14-11-2019,Fatehabad,1,Severe,418,PM10
15-11-2019,Fatehabad,1,Poor,273,PM10
16-11-2019,Fatehabad,1,Moderate,160,PM10
17-11-2019,Fatehabad,1,Satisfactory,90,PM10
18-11-2019,Fatehabad,1,Moderate,181,PM10
19-11-2019,Fatehabad,1,Moderate,155,PM10
20-11-2019,Fatehabad,1,Poor,253,PM10
21-11-2019,Fatehabad,1,Poor,256,PM10
22-11-2019,Fatehabad,1,Poor,256,PM10
23-11-2019,Fatehabad,1,Moderate,163,PM10
24-11-2019,Fatehabad,1,Moderate,140,PM10
25-11-2019,Fatehabad,1,Moderate,144,PM10
26-11-2019,Fatehabad,1,Moderate,135,PM10
27-11-2019,Fatehabad,1,Satisfactory,55,PM10
28-11-2019,Fatehabad,1,Satisfactory,57,PM10
29-11-2019,Fatehabad,1,Satisfactory,54,PM10
30-11-2019,Fatehabad,1,Moderate,116,PM10
01-12-2019,Fatehabad,1,Moderate,172,PM10
02-12-2019,Fatehabad,1,Moderate,168,PM10
03-12-2019,Fatehabad,1,Moderate,164,PM10
04-12-2019,Fatehabad,1,Poor,231,PM10
05-12-2019,Fatehabad,1,Moderate,155,PM10
06-12-2019,Fatehabad,1,Moderate,182,PM10
07-12-2019,Fatehabad,1,Moderate,153,PM10
08-12-2019,Fatehabad,1,Moderate,157,PM10
09-12-2019,Fatehabad,1,Moderate,168,PM10
10-12-2019,Fatehabad,1,Moderate,155,PM10
11-12-2019,Fatehabad,1,Moderate,173,PM10
12-12-2019,Fatehabad,1,Poor,201,PM10
13-12-2019,Fatehabad,1,Moderate,130,PM10
14-12-2019,Fatehabad,1,Satisfactory,89,PM10
15-12-2019,Fatehabad,1,Satisfactory,77,PM10
16-12-2019,Fatehabad,1,Satisfactory,63,PM10
17-12-2019,Fatehabad,1,Satisfactory,59,PM10
18-12-2019,Fatehabad,1,Satisfactory,67,PM10
19-12-2019,Fatehabad,1,Satisfactory,76,PM10
20-12-2019,Fatehabad,1,Satisfactory,87,PM10
21-12-2019,Fatehabad,1,Moderate,120,PM10
22-12-2019,Fatehabad,1,Moderate,115,PM10
23-12-2019,Fatehabad,1,Moderate,115,PM10
24-12-2019,Fatehabad,1,Moderate,135,PM10
25-12-2019,Fatehabad,1,Moderate,150,PM10
26-12-2019,Fatehabad,1,Moderate,175,PM10
27-12-2019,Fatehabad,1,Moderate,152,PM10
28-12-2019,Fatehabad,1,Moderate,140,PM10
29-12-2019,Fatehabad,1,Moderate,141,PM2.5
30-12-2019,Fatehabad,1,Satisfactory,98,PM2.5
31-12-2019,Fatehabad,1,Moderate,191,PM2.5
01-01-2020,Fatehabad,1,Moderate,159,PM2.5
02-01-2020,Fatehabad,1,Moderate,152,PM2.5
03-01-2020,Fatehabad,1,Moderate,137,PM2.5
04-01-2020,Fatehabad,1,Moderate,192,PM2.5
06-01-2020,Fatehabad,1,Moderate,142,PM2.5
07-01-2020,Fatehabad,1,Satisfactory,64,PM10
08-01-2020,Fatehabad,1,Satisfactory,96,PM10
09-01-2020,Fatehabad,1,Satisfactory,69,PM10
10-01-2020,Fatehabad,1,Satisfactory,95,PM10
11-01-2020,Fatehabad,1,Moderate,110,PM10
12-01-2020,Fatehabad,1,Moderate,135,PM2.5
13-01-2020,Fatehabad,1,Moderate,116,PM10
14-01-2020,Fatehabad,1,Satisfactory,60,PM10
15-01-2020,Fatehabad,1,Satisfactory,57,PM10
16-01-2020,Fatehabad,1,Satisfactory,65,PM10
17-01-2020,Fatehabad,1,Satisfactory,96,PM10
18-01-2020,Fatehabad,1,Satisfactory,85,PM10
19-01-2020,Fatehabad,1,Satisfactory,78,PM10
20-01-2020,Fatehabad,1,Satisfactory,88,PM10
21-01-2020,Fatehabad,1,Moderate,115,PM2.5
22-01-2020,Fatehabad,1,Moderate,106,PM2.5
23-01-2020,Fatehabad,1,Satisfactory,92,PM10
24-01-2020,Fatehabad,1,Satisfactory,92,PM10
25-01-2020,Fatehabad,1,Moderate,112,PM10
26-01-2020,Fatehabad,1,Moderate,131,PM10
27-01-2020,Fatehabad,1,Moderate,111,PM10
28-01-2020,Fatehabad,1,Satisfactory,56,PM10
29-01-2020,Fatehabad,1,Satisfactory,56,PM10
30-01-2020,Fatehabad,1,Satisfactory,72,PM10
31-01-2020,Fatehabad,1,Satisfactory,64,PM10
01-02-2020,Fatehabad,1,Satisfactory,61,PM10
02-02-2020,Fatehabad,1,Satisfactory,88,PM10
03-02-2020,Fatehabad,1,Moderate,123,PM10
04-02-2020,Fatehabad,1,Satisfactory,81,PM10
05-02-2020,Fatehabad,1,Satisfactory,95,PM10
06-02-2020,Fatehabad,1,Moderate,125,PM10
07-02-2020,Fatehabad,1,Satisfactory,81,PM10
08-02-2020,Fatehabad,1,Moderate,112,PM10
09-02-2020,Fatehabad,1,Moderate,111,PM10
10-02-2020,Fatehabad,1,Moderate,130,PM10
11-02-2020,Fatehabad,1,Moderate,130,PM10
12-02-2020,Fatehabad,1,Moderate,145,PM10
13-02-2020,Fatehabad,1,Moderate,107,PM10
14-02-2020,Fatehabad,1,Moderate,111,PM10
15-02-2020,Fatehabad,1,Moderate,106,PM10
16-02-2020,Fatehabad,1,Moderate,130,PM2.5
17-02-2020,Fatehabad,1,Moderate,169,PM2.5
18-02-2020,Fatehabad,1,Moderate,114,PM10
19-02-2020,Fatehabad,1,Moderate,156,PM2.5
20-02-2020,Fatehabad,1,Moderate,152,PM2.5
21-02-2020,Fatehabad,1,Moderate,121,PM2.5
22-02-2020,Fatehabad,1,Satisfactory,60,PM2.5
23-02-2020,Fatehabad,1,Moderate,115,PM2.5
24-02-2020,Fatehabad,1,Moderate,151,PM2.5
25-02-2020,Fatehabad,1,Moderate,168,PM2.5
26-02-2020,Fatehabad,1,Moderate,197,PM2.5
27-02-2020,Fatehabad,1,Moderate,177,PM2.5
28-02-2020,Fatehabad,1,Moderate,109,PM10
01-03-2020,Fatehabad,1,Satisfactory,60,PM2.5
02-03-2020,Fatehabad,1,Satisfactory,78,PM2.5
03-03-2020,Fatehabad,1,Satisfactory,90,PM2.5
04-03-2020,Fatehabad,1,Moderate,122,PM2.5
05-03-2020,Fatehabad,1,Good,46,PM2.5
06-03-2020,Fatehabad,1,Good,35,O3
07-03-2020,Fatehabad,1,Good,40,PM2.5
08-03-2020,Fatehabad,1,Good,46,PM2.5
09-03-2020,Fatehabad,1,Satisfactory,56,PM10
10-03-2020,Fatehabad,1,Satisfactory,95,PM10
11-03-2020,Fatehabad,1,Satisfactory,74,PM2.5
12-03-2020,Fatehabad,1,Satisfactory,69,PM10
13-03-2020,Fatehabad,1,Satisfactory,71,PM10
14-03-2020,Fatehabad,1,Moderate,136,PM10
15-03-2020,Fatehabad,1,Satisfactory,65,PM2.5
16-03-2020,Fatehabad,1,Satisfactory,79,PM2.5
17-03-2020,Fatehabad,1,Moderate,104,PM10
18-03-2020,Fatehabad,1,Moderate,150,PM2.5
19-03-2020,Fatehabad,1,Moderate,123,PM2.5
20-03-2020,Fatehabad,1,Satisfactory,95,PM2.5
21-03-2020,Fatehabad,1,Satisfactory,81,PM10
22-03-2020,Fatehabad,1,Satisfactory,94,PM2.5
23-03-2020,Fatehabad,1,Satisfactory,78,PM2.5
24-03-2020,Fatehabad,1,Satisfactory,68,PM2.5
25-03-2020,Fatehabad,1,Good,43,PM2.5
26-03-2020,Fatehabad,1,Satisfactory,62,PM2.5
27-03-2020,Fatehabad,1,Good,44,PM2.5
29-03-2020,Fatehabad,1,Satisfactory,61,O3
30-03-2020,Fatehabad,1,Satisfactory,66,O3
31-03-2020,Fatehabad,1,Satisfactory,56,O3
01-04-2020,Fatehabad,1,Good,50,O3
02-04-2020,Fatehabad,1,Satisfactory,70,O3
03-04-2020,Fatehabad,1,Satisfactory,94,O3
04-04-2020,Fatehabad,1,Satisfactory,91,O3
05-04-2020,Fatehabad,1,Satisfactory,76,O3
06-04-2020,Fatehabad,1,Satisfactory,80,O3
07-04-2020,Fatehabad,1,Satisfactory,68,PM10
08-04-2020,Fatehabad,1,Satisfactory,78,O3
09-04-2020,Fatehabad,1,Satisfactory,99,O3
10-04-2020,Fatehabad,1,Satisfactory,85,O3
11-04-2020,Fatehabad,1,Satisfactory,74,O3
12-04-2020,Fatehabad,1,Satisfactory,72,PM10
14-04-2020,Fatehabad,1,Satisfactory,96,PM10
15-04-2020,Fatehabad,1,Poor,257,PM10
16-04-2020,Fatehabad,1,Satisfactory,93,PM10
17-04-2020,Fatehabad,1,Satisfactory,78,PM10
18-04-2020,Fatehabad,1,Satisfactory,84,PM10
19-04-2020,Fatehabad,1,Satisfactory,75,O3
20-04-2020,Fatehabad,1,Satisfactory,82,PM10
21-04-2020,Fatehabad,1,Satisfactory,64,O3
22-04-2020,Fatehabad,1,Satisfactory,92,PM10
23-04-2020,Fatehabad,1,Moderate,118,PM10
24-04-2020,Fatehabad,1,Satisfactory,90,O3
25-04-2020,Fatehabad,1,Moderate,104,PM10
26-04-2020,Fatehabad,1,Moderate,128,PM10
27-04-2020,Fatehabad,1,Satisfactory,90,PM10
28-04-2020,Fatehabad,1,Satisfactory,73,PM10
29-04-2020,Fatehabad,1,Moderate,109,PM10
30-04-2020,Fatehabad,1,Poor,204,PM10
01-05-2020,Fatehabad,1,Moderate,197,PM10
02-05-2020,Fatehabad,1,Moderate,171,PM10
05-05-2020,Fatehabad,1,Satisfactory,64,PM2.5
06-05-2020,Fatehabad,1,Moderate,196,PM10
07-05-2020,Fatehabad,1,Poor,201,O3
08-05-2020,Fatehabad,1,Moderate,147,O3
09-05-2020,Fatehabad,1,Poor,211,PM2.5
10-05-2020,Fatehabad,1,Moderate,173,PM2.5
11-05-2020,Fatehabad,1,Moderate,104,O3
12-05-2020,Fatehabad,1,Moderate,137,PM10
13-05-2020,Fatehabad,1,Moderate,138,PM10
14-05-2020,Fatehabad,1,Moderate,113,PM10
15-05-2020,Fatehabad,1,Moderate,124,PM10
16-05-2020,Fatehabad,1,Moderate,183,O3
17-05-2020,Fatehabad,1,Poor,216,O3
19-05-2020,Fatehabad,1,Moderate,143,PM10
20-05-2020,Fatehabad,1,Moderate,147,PM10
21-05-2020,Fatehabad,1,Moderate,129,PM10
22-05-2020,Fatehabad,1,Moderate,152,PM10
23-05-2020,Fatehabad,1,Moderate,175,PM10
24-05-2020,Fatehabad,1,Moderate,199,PM10
25-05-2020,Fatehabad,1,Moderate,131,PM10
26-05-2020,Fatehabad,1,Moderate,148,PM10
27-05-2020,Fatehabad,1,Moderate,149,PM10
28-05-2020,Fatehabad,1,Poor,299,PM10
31-05-2020,Fatehabad,1,Satisfactory,59,O3
04-06-2020,Fatehabad,1,Satisfactory,80,PM10
06-06-2020,Fatehabad,1,Satisfactory,66,PM2.5
07-06-2020,Fatehabad,1,Satisfactory,76,PM10
04-07-2020,Fatehabad,1,Moderate,115,PM10
16-07-2020,Fatehabad,1,Satisfactory,70,PM2.5
07-08-2020,Fatehabad,1,Good,49,O3
08-08-2020,Fatehabad,1,Satisfactory,52,PM2.5
09-08-2020,Fatehabad,1,Good,36,PM10
10-08-2020,Fatehabad,1,Good,41,PM2.5
11-08-2020,Fatehabad,1,Good,31,PM2.5
12-08-2020,Fatehabad,1,Good,47,PM10
13-08-2020,Fatehabad,1,Satisfactory,58,PM10
14-08-2020,Fatehabad,1,Good,34,PM10
15-08-2020,Fatehabad,1,Good,47,PM2.5
16-08-2020,Fatehabad,1,Satisfactory,63,PM2.5
17-08-2020,Fatehabad,1,Good,43,PM2.5
18-08-2020,Fatehabad,1,Good,39,PM10
20-08-2020,Fatehabad,1,Good,47,PM2.5
21-08-2020,Fatehabad,1,Good,29,PM2.5
22-08-2020,Fatehabad,1,Good,26,PM10
24-08-2020,Fatehabad,1,Good,34,PM10
25-08-2020,Fatehabad,1,Good,38,PM10
26-08-2020,Fatehabad,1,Good,26,PM10
27-08-2020,Fatehabad,1,Good,44,PM10
28-08-2020,Fatehabad,1,Good,25,O3
29-08-2020,Fatehabad,1,Good,39,O3
30-08-2020,Fatehabad,1,Satisfactory,57,PM2.5
01-09-2020,Fatehabad,1,Good,37,O3
02-09-2020,Fatehabad,1,Good,37,O3
03-09-2020,Fatehabad,1,Good,43,PM10
04-09-2020,Fatehabad,1,Good,48,PM2.5
05-09-2020,Fatehabad,1,Good,50,PM2.5
07-09-2020,Fatehabad,1,Good,44,PM10
08-09-2020,Fatehabad,1,Satisfactory,54,PM10
12-09-2020,Fatehabad,1,Satisfactory,92,PM10
13-09-2020,Fatehabad,1,Satisfactory,90,PM10
14-09-2020,Fatehabad,1,Satisfactory,95,PM10
