date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
22-09-2021,Aizawl,1,Good,22,SO2
23-09-2021,Aizawl,1,Good,23,SO2
24-09-2021,Aizawl,1,Good,23,SO2
25-09-2021,Aizawl,1,Good,25,SO2
26-09-2021,Aizawl,1,Good,24,SO2
27-09-2021,Aizawl,1,Good,24,SO2
28-09-2021,Aizawl,1,Good,24,SO2
01-10-2021,Aizawl,1,Good,23,SO2
02-10-2021,Aizawl,1,Good,24,SO2
03-10-2021,Aizawl,1,Good,24,SO2
04-10-2021,Aizawl,1,Good,24,SO2
05-10-2021,Aizawl,1,Good,25,SO2
06-10-2021,Aizawl,1,Good,25,SO2
07-10-2021,Aizawl,1,Good,25,SO2
08-10-2021,Aizawl,1,Good,34,PM10
09-10-2021,Aizawl,1,Good,35,PM10
10-10-2021,Aizawl,1,Good,36,PM10
11-10-2021,Aizawl,1,Good,30,SO2
12-10-2021,Aizawl,1,Good,30,SO2
13-10-2021,Aizawl,1,Good,29,SO2
14-10-2021,Aizawl,1,Good,27,SO2
15-10-2021,Aizawl,1,Good,27,SO2
16-10-2021,Aizawl,1,Good,35,PM10
17-10-2021,Aizawl,1,Good,26,SO2
18-10-2021,Aizawl,1,Good,26,SO2
22-10-2021,Aizawl,1,Good,39,PM10
23-10-2021,Aizawl,1,Good,50,PM10
24-10-2021,Aizawl,1,Good,49,PM10
25-10-2021,Aizawl,1,Good,34,PM10
26-10-2021,Aizawl,1,Good,24,PM10
27-10-2021,Aizawl,1,Good,19,CO
28-10-2021,Aizawl,1,Good,20,CO
29-10-2021,Aizawl,1,Good,21,CO
30-10-2021,Aizawl,1,Good,20,CO
31-10-2021,Aizawl,1,Good,27,PM10
01-11-2021,Aizawl,1,Good,41,PM10
02-11-2021,Aizawl,1,Satisfactory,52,PM10
03-11-2021,Aizawl,1,Good,31,PM10
04-11-2021,Aizawl,1,Good,29,PM10
05-11-2021,Aizawl,1,Good,40,PM10
06-11-2021,Aizawl,1,Good,29,PM10
07-11-2021,Aizawl,1,Good,23,PM10
08-11-2021,Aizawl,1,Good,14,CO
09-11-2021,Aizawl,1,Good,16,CO
10-11-2021,Aizawl,1,Good,16,CO
11-11-2021,Aizawl,1,Good,16,CO
12-11-2021,Aizawl,1,Good,18,CO
13-11-2021,Aizawl,1,Good,20,PM10
14-11-2021,Aizawl,1,Good,13,SO2
17-11-2021,Aizawl,1,Good,16,CO
18-11-2021,Aizawl,1,Good,17,CO
19-11-2021,Aizawl,1,Good,44,SO2
20-11-2021,Aizawl,1,Good,25,SO2
21-11-2021,Aizawl,1,Good,21,PM10
22-11-2021,Aizawl,1,Good,39,PM10
23-11-2021,Aizawl,1,Good,39,PM10
24-11-2021,Aizawl,1,Good,40,PM10
25-11-2021,Aizawl,1,Satisfactory,62,PM10
26-11-2021,Aizawl,1,Satisfactory,80,PM10
27-11-2021,Aizawl,1,Satisfactory,63,PM10
28-11-2021,Aizawl,1,Good,27,PM10
29-11-2021,Aizawl,1,Good,19,PM10
30-11-2021,Aizawl,1,Good,23,PM10
01-12-2021,Aizawl,1,Good,20,PM10
02-12-2021,Aizawl,1,Good,21,PM10
03-12-2021,Aizawl,1,Good,17,PM10
04-12-2021,Aizawl,1,Good,14,CO
05-12-2021,Aizawl,1,Good,10,CO
08-12-2021,Aizawl,1,Good,19,PM10
09-12-2021,Aizawl,1,Good,23,CO
10-12-2021,Aizawl,1,Good,21,CO
11-12-2021,Aizawl,1,Satisfactory,54,PM10
12-12-2021,Aizawl,1,Good,43,PM10
13-12-2021,Aizawl,1,Good,19,CO
14-12-2021,Aizawl,1,Good,23,PM10
15-12-2021,Aizawl,1,Good,18,PM10
16-12-2021,Aizawl,1,Good,22,PM10
17-12-2021,Aizawl,1,Good,23,PM10
18-12-2021,Aizawl,1,Good,20,PM10
19-12-2021,Aizawl,1,Good,14,PM10
20-12-2021,Aizawl,1,Good,24,PM10
21-12-2021,Aizawl,1,Good,28,PM10
22-12-2021,Aizawl,1,Good,37,PM10
23-12-2021,Aizawl,1,Satisfactory,73,PM10
24-12-2021,Aizawl,1,Satisfactory,58,PM10
25-12-2021,Aizawl,1,Good,35,PM10
26-12-2021,Aizawl,1,Good,31,PM10
27-12-2021,Aizawl,1,Good,37,PM10
28-12-2021,Aizawl,1,Good,37,PM10
29-12-2021,Aizawl,1,Good,40,PM10
30-12-2021,Aizawl,1,Good,35,PM10
31-12-2021,Aizawl,1,Good,30,PM10
01-01-2022,Aizawl,1,Good,43,PM10
02-01-2022,Aizawl,1,Good,28,PM10
03-01-2022,Aizawl,1,Good,24,PM10
04-01-2022,Aizawl,1,Good,17,PM10
05-01-2022,Aizawl,1,Good,15,PM10
06-01-2022,Aizawl,1,Good,12,CO
07-01-2022,Aizawl,1,Good,18,CO
08-01-2022,Aizawl,1,Good,18,PM10
09-01-2022,Aizawl,1,Good,15,PM10
10-01-2022,Aizawl,1,Good,28,PM10
11-01-2022,Aizawl,1,Good,33,PM10
12-01-2022,Aizawl,1,Good,41,PM10
13-01-2022,Aizawl,1,Good,16,PM10
14-01-2022,Aizawl,1,Good,29,PM10
15-01-2022,Aizawl,1,Good,25,PM10
16-01-2022,Aizawl,1,Good,21,PM10
17-01-2022,Aizawl,1,Good,30,PM10
18-01-2022,Aizawl,1,Good,26,PM10
19-01-2022,Aizawl,1,Good,24,PM10
20-01-2022,Aizawl,1,Good,29,PM10
21-01-2022,Aizawl,1,Satisfactory,88,PM10
22-01-2022,Aizawl,1,Satisfactory,65,PM10
23-01-2022,Aizawl,1,Satisfactory,60,PM10
24-01-2022,Aizawl,1,Satisfactory,61,PM10
25-01-2022,Aizawl,1,Good,31,PM10
26-01-2022,Aizawl,1,Good,36,PM10
27-01-2022,Aizawl,1,Good,38,PM10
28-01-2022,Aizawl,1,Satisfactory,89,PM10
29-01-2022,Aizawl,1,Satisfactory,82,PM10
30-01-2022,Aizawl,1,Satisfactory,72,PM10
31-01-2022,Aizawl,1,Satisfactory,85,PM10
01-02-2022,Aizawl,1,Moderate,106,PM10
02-02-2022,Aizawl,1,Satisfactory,89,PM10
03-02-2022,Aizawl,1,Satisfactory,78,PM10
04-02-2022,Aizawl,1,Satisfactory,67,PM10
05-02-2022,Aizawl,1,Good,39,PM10
06-02-2022,Aizawl,1,Good,46,PM10
07-02-2022,Aizawl,1,Good,46,PM10
08-02-2022,Aizawl,1,Good,48,PM10
09-02-2022,Aizawl,1,Satisfactory,62,PM10
10-02-2022,Aizawl,1,Satisfactory,70,PM10
11-02-2022,Aizawl,1,Satisfactory,85,PM10
12-02-2022,Aizawl,1,Satisfactory,72,PM10
13-02-2022,Aizawl,1,Satisfactory,53,PM10
